gene_id,gene_name
ENSG00000124440.16,HIF3A
ENSG00000124615.20,MOCS1
ENSG00000124743.6,KLHL31
ENSG00000124785.9,NRN1
ENSG00000125355.16,TMEM255A
ENSG00000125740.14,FOSB
ENSG00000126218.12,F10
ENSG00000126785.13,RHOJ
ENSG00000126787.13,DLGAP5
ENSG00000126895.15,AVPR2
ENSG00000127241.18,MASP1
ENSG00000127564.17,PKMYT1
ENSG00000127743.6,IL17B
ENSG00000127920.6,GNG11
ENSG00000127955.17,GNAI1
ENSG00000128573.26,FOXP2
ENSG00000128655.18,PDE11A
ENSG00000128918.15,ALDH1A2
ENSG00000129467.14,ADCY4
ENSG00000129596.5,CDO1
ENSG00000129680.16,MAP7D3
ENSG00000129757.14,CDKN1C
ENSG00000130032.17,PRRG3
ENSG00000130173.13,ANGPTL8
ENSG00000130176.8,CNN1
ENSG00000130226.17,DPP6
ENSG00000130307.12,USHBP1
ENSG00000130520.11,LSM4
ENSG00000130595.19,TNNT3
ENSG00000130876.11,SLC7A10
ENSG00000130988.13,RGN
ENSG00000131016.17,AKAP12
ENSG00000131069.20,ACSS2
ENSG00000131095.13,GFAP
ENSG00000131386.19,GALNT15
ENSG00000131471.7,AOC3
ENSG00000131480.9,AOC2
ENSG00000131730.16,CKMT2
ENSG00000131747.15,TOP2A
ENSG00000132170.23,PPARG
ENSG00000132561.14,MATN2
ENSG00000132837.15,DMGDH
ENSG00000132840.10,BHMT2
ENSG00000132970.14,WASF3
ENSG00000133116.8,KL
ENSG00000133317.16,LGALS12
ENSG00000133392.18,MYH11
ENSG00000133401.16,PDZD2
ENSG00000133687.16,TMTC1
ENSG00000133800.9,LYVE1
ENSG00000134057.15,CCNB1
ENSG00000134121.10,CHL1
ENSG00000134138.20,MEIS2
ENSG00000134201.12,GSTM5
ENSG00000134339.9,SAA2
ENSG00000134548.11,SPX
ENSG00000134690.11,CDCA8
ENSG00000134765.10,DSC1
ENSG00000134962.7,KLB
ENSG00000135046.14,ANXA1
ENSG00000135094.11,SDS
ENSG00000135127.11,BICDL1
ENSG00000135144.7,DTX1
ENSG00000135218.19,CD36
ENSG00000135424.18,ITGA7
ENSG00000135437.10,RDH5
ENSG00000135447.17,PPP1R1A
ENSG00000135451.13,TROAP
ENSG00000135917.16,SLC19A3
ENSG00000136011.15,STAB2
ENSG00000136014.12,USP44
ENSG00000136114.17,THSD1
ENSG00000136158.12,SPRY2
ENSG00000136160.17,EDNRB
ENSG00000136531.18,SCN2A
ENSG00000136732.16,GYPC
ENSG00000136826.15,KLF4
ENSG00000136842.14,TMOD1
ENSG00000136960.13,ENPP2
ENSG00000137033.11,IL33
ENSG00000137070.18,IL11RA
ENSG00000137225.13,CAPN11
ENSG00000137441.8,FGFBP2
ENSG00000137463.5,MGARP
ENSG00000137675.5,MMP27
ENSG00000137727.12,ARHGAP20
ENSG00000137731.14,FXYD2
ENSG00000137807.16,KIF23
ENSG00000137960.6,GIPC2
ENSG00000138160.7,KIF11
ENSG00000138180.16,CEP55
ENSG00000138207.14,RBP4
ENSG00000138640.15,FAM13A
ENSG00000138685.17,FGF2
ENSG00000138722.10,MMRN1
ENSG00000139112.11,GABARAPL1
ENSG00000139144.11,PIK3C2G
ENSG00000139151.16,PLCZ1
ENSG00000139874.6,SSTR1
ENSG00000139946.10,PELI2
ENSG00000140876.11,NUDT7
ENSG00000141052.18,MYOCD
ENSG00000141338.14,ABCA8
ENSG00000141404.17,GNAL
ENSG00000142945.13,KIF2C
ENSG00000143171.13,RXRG
ENSG00000143196.5,DPT
ENSG00000143228.13,NUF2
ENSG00000143476.18,DTL
ENSG00000143549.21,TPM3
ENSG00000144031.12,ANKRD53
ENSG00000144230.16,GPR17
ENSG00000144642.22,RBMS3
ENSG00000144908.14,ALDH1L1
ENSG00000145335.17,SNCA
ENSG00000145362.20,ANK2
ENSG00000145386.11,CCNA2
ENSG00000145708.11,CRHBP
ENSG00000145777.15,TSLP
ENSG00000145936.9,KCNMB1
ENSG00000146006.8,LRRTM2
ENSG00000146374.14,RSPO3
ENSG00000146469.13,VIP
