gene_id,gene_name
ENSG00000100448.4,CTSG
ENSG00000100526.20,CDKN3
ENSG00000100567.13,PSMA3
ENSG00000100626.17,GALNT16
ENSG00000100650.16,SRSF5
ENSG00000100767.17,PAPLN
ENSG00000101003.10,GINS1
ENSG00000101057.16,MYBL2
ENSG00000101158.15,NELFCD
ENSG00000101166.16,PRELID3B
ENSG00000101182.15,PSMA7
ENSG00000101222.12,SPEF1
ENSG00000101224.17,CDC25B
ENSG00000101280.8,ANGPT4
ENSG00000101331.17,CCM2L
ENSG00000101349.17,PAK5
ENSG00000101367.9,MAPRE1
ENSG00000101439.9,CST3
ENSG00000101447.15,FAM83D
ENSG00000101605.13,MYOM1
ENSG00000101843.19,PSMD10
ENSG00000101883.5,RHOXF1
ENSG00000101938.15,CHRDL1
ENSG00000102001.13,CACNA1F
ENSG00000102010.15,BMX
ENSG00000102144.15,PGK1
ENSG00000102145.15,GATA1
ENSG00000102384.13,CENPI
ENSG00000102796.11,DHRS12
ENSG00000102898.12,NUTF2
ENSG00000102900.13,NUP93
ENSG00000102935.12,ZNF423
ENSG00000102978.13,POLR2C
ENSG00000103005.12,USB1
ENSG00000103018.17,CYB5B
ENSG00000103035.11,PSMD7
ENSG00000103121.9,CMC2
ENSG00000103194.16,USP10
ENSG00000103257.9,SLC7A5
ENSG00000103647.13,CORO2B
ENSG00000103710.11,RASL12
ENSG00000103742.12,IGDCC4
ENSG00000104129.10,DNAJC17
ENSG00000104147.9,OIP5
ENSG00000104312.8,RIPK2
ENSG00000104341.17,LAPTM4B
ENSG00000104356.11,POP1
ENSG00000104413.18,ESRP1
ENSG00000104442.10,ARMC1
ENSG00000104537.17,ANXA13
ENSG00000104549.12,SQLE
ENSG00000104679.12,R3HCC1
ENSG00000104738.18,MCM4
ENSG00000104852.15,SNRNP70
ENSG00000104859.15,CLASRP
ENSG00000104870.13,FCGRT
ENSG00000104883.8,PEX11G
ENSG00000104888.10,SLC17A7
ENSG00000104903.5,LYL1
ENSG00000104936.19,DMPK
ENSG00000104957.14,CCDC130
ENSG00000104983.8,CCDC61
ENSG00000105011.9,ASF1B
ENSG00000105122.13,RASAL3
ENSG00000105141.6,CASP14
ENSG00000105173.14,CCNE1
ENSG00000105220.17,GPI
ENSG00000105227.16,PRX
ENSG00000105298.14,CACTIN
ENSG00000105327.18,BBC3
ENSG00000105373.19,NOP53
ENSG00000105443.15,CYTH2
ENSG00000105492.16,SIGLEC6
ENSG00000105538.10,RASIP1
ENSG00000105643.10,ARRDC2
ENSG00000105662.16,CRTC1
ENSG00000105711.13,SCN1B
ENSG00000105737.9,GRIK5
ENSG00000105792.19,CFAP69
ENSG00000105894.12,PTN
ENSG00000105974.13,CAV1
ENSG00000105996.7,HOXA2
ENSG00000106004.5,HOXA5
ENSG00000106105.15,GARS1
ENSG00000106404.14,CLDN15
ENSG00000106479.11,ZNF862
ENSG00000106483.12,SFRP4
ENSG00000106511.6,MEOX2
ENSG00000106686.16,SPATA6L
ENSG00000106809.11,OGN
ENSG00000107281.10,NPDC1
ENSG00000107317.13,PTGDS
ENSG00000107719.9,PALD1
ENSG00000107736.21,CDH23
ENSG00000107738.20,VSIR
ENSG00000107872.13,FBXL15
ENSG00000107937.19,GTPBP4
ENSG00000108001.15,EBF3
ENSG00000108381.11,ASPA
ENSG00000108551.5,RASD1
ENSG00000108671.11,PSMD11
ENSG00000108688.11,CCL7
ENSG00000108799.13,EZH1
ENSG00000108829.10,LRRC59
ENSG00000108839.12,ALOX12
ENSG00000108924.14,HLF
ENSG00000109047.8,RCVRN
ENSG00000109063.15,MYH3
ENSG00000109424.4,UCP1
ENSG00000109475.16,RPL34
